type,count
IN19A085,5
IN04B029,5
IN00A048,5
IN19B070,5
TN1c_a,5
IN09A086,5
INXXX283,5
IN19A056,5
IN03B092,5
SNta12,5
IN01B021,5
IN04B011,5
IN13B042,5
IN14B011,5
INXXX370,5
IN04B009,5
IN19A113,5
IN04B041,5
IN11A005,5
IN14A021,5
"IN17A071, IN17A081",5
IN07B073_a,5
IN06B052,5
IN11A007,5
IN19A048,5
IN23B066,5
SNxx30,5
IN09A088,5
IN08A027,5
IN03A044,5
IN19B095,5
IN04B060,5
"IN17A082, IN17A086",5
IN14A043,5
IN19B077,5
IN13B028,5
IN21A063,5
IN07B073_e,5
IN17A049,5
IN23B085,5
IN07B073_b,5
IN04B067,5
IN19A042,5
IN04B107,5
MNad05,5
IN06B036,5
IN19A057,5
"IN17A113,IN17A119",5
"IN20A.22A061,IN20A.22A068",5
IN04B076,5
IN12B029,5
IN16B079,5
IN12B040,5
IN03A058,5
IN00A030,5
IN20A.22A046,5
IN03A078,5
IN00A047,5
IN08A029,5
IN00A040,5
IN06B072,5
IN17A078,5
IN06A079,5
IN12B049,5
IN03A087,5
IN18B048,5
IN10B040,5
SNxx08,5
IN01B053,5
IN16B105,5
IN13B052,5
IN01B054,5
IN09A050,5
IN06A086,5
IN06A061,5
IN19A102,5
IN09A026,5
INXXX326,5
IN23B090,5
IN13B055,5
IN14A058,5
IN06A077,5
IN09A094,5
IN04B070,5
IN14A034,5
"IN04B113, IN04B114",5
"IN20A.22A049,IN20A.22A067",5
IN13A075,5
IN23B072,5
IN16B118,5
IN11B021_b,5
Ta levator MN,5
IN13A067,5
IN18B055,5
IN11A043,5
IN01B078,5
SNpp44,5
IN13A043,5
IN16B091,5
IN13B098,5
IN14A076,5
IN07B096_a,5
"IN19A095, IN19A127",5
IN03A097,5
IN09A081,5
SNta22,5
IN20A.22A026,5
IN01B081,5
IN19A082,5
IN06A135,5
IN02A055,5
IN21A083,5
IN09B054,5
IN20A.22A088,5
IN14A096,5
IN19A065,5
IN01B097,5
"IN14A100, IN14A113",5
AN27X013,4
AN05B101,4
AN06B007,4
AN08B012,4
DNg102,4
MDN,4
DNb02,4
AN08B010,4
DNa13,4
DNg79,4
DNde003,4
DNg26,4
DNpe031,4
DNb08,4
DNge136,4
AN17B013,4
DNbe002,4
DNge113,4
DNpe003,4
DNp41,4
ANXXX120,4
AN19B036,4
"DNp51,DNpe019",4
DNg52,4
DNg51,4
DNge046,4
DNge172,4
AN09B012,4
DNpe014,4
DNg72,4
AN27X009,4
DNg04,4
DNx02,4
DNpe004,4
AN04B001,4
AN17A012,4
DNge145,4
ANXXX041,4
DNge181,4
DNb03,4
AN08B112,4
DNpe012_a,4
DNg82,4
AN05B009,4
AN19B001,4
AN07B037_a,4
AN08B028,4
AN09B029,4
DNg02_g,4
DNg36_a,4
AN09B060,4
AN07B013,4
ANXXX116,4
AN08B009,4
ANXXX150,4
DNpe012_b,4
ANXXX049,4
AN18B019,4
DNge087,4
IN05B022,4
AN10B015,4
ANXXX170,4
DNge093,4
AN10B024,4
AN12B008,4
DNge117,4
DNg12_f,4
AN03B011,4
AN09B020,4
DNg92_b,4
DNge092,4
AN08B084,4
DNge116,4
DNg05_b,4
AN19B044,4
ANXXX200,4
AN07B035,4
DNge009,4
AN05B106,4
AN09B037,4
AN08B049,4
AN09B030,4
LgAG6,4
DNpe057,4
AN05B050_c,4
DNpe029,4
AN05B062,4
AN05B096,4
AN19B009,4
AN05B063,4
DNpe011,4
AN07B041,4
AN08B081,4
AN08B099_a,4
"SNxx27,SNxx29",4
AN09B032,4
ANXXX380,4
LgAG5,4
AN16B112,4
AN07B042,4
AN08B106,4
AN06B051,4
AN17A013,4
AN19B060,4
IN19A006,4
AN19B051,4
AN04B004,4
IN00A053,4
AN06A026,4
AN07B050,4
AN07B071_c,4
IN10B007,4
AN07B071_d,4
AN06A062,4
AN19B063,4
AN19B061,4
AN06A080,4
AN05B054_b,4
AN05B053,4
AN07B046_a,4
AN19B099,4
AN07B069_a,4
IN07B063,4
MNad21,4
LN-DN2,4
IN10B036,4
IN17A037,4
DNge061,4
DNg02_c,4
AN19B098,4
IN04B053,4
IN23B006,4
IN05B010,4
IN03B020,4
IN07B001,4
INXXX095,4
IN09A004,4
IN19B021,4
IN12A001,4
IN19A019,4
IN06B035,4
IN07B012,4
IN19A014,4
IN23B005,4
IN19A010,4
IN03B032,4
IN01A034,4
IN06B016,4
INXXX027,4
IN14B005,4
INXXX271,4
IN12B013,4
IN01A009,4
IN08B004,4
IN05B016,4
IN07B009,4
IN18B016,4
IN10B011,4
IN13A004,4
IN09A007,4
IN18B005,4
IN02A012,4
IN01A010,4
IN09A009,4
IN03A001,4
IN19B035,4
IN04B034,4
INXXX247,4
IN19A009,4
IN03B019,4
IN07B038,4
IN09B006,4
IN02A007,4
INXXX008,4
IN16B022,4
MNad19,4
EN00B013,4
IN12A003,4
INXXX062,4
IN12B011,4
MNad22,4
IN02A003,4
IN10B012,4
IN12A002,4
IN00A025,4
IN19A012,4
IN13A052,4
INXXX306,4
IN13A013,4
IN13B088,4
IN04B090,4
INXXX096,4
IN06B013,4
IN17B004,4
IN09B022,4
IN04B022,4
INXXX246,4
IN08B067,4
IN05B033,4
IN18B011,4
IN03B015,4
INXXX307,4
IN06B030,4
INXXX262,4
IN03A009,4
INXXX409,4
IN12B047,4
IN23B021,4
IN06B024,4
IN01A007,4
INXXX329,4
INXXX352,4
INXXX260,4
TN1a_g,4
IN19A088_b,4
IN17B015,4
IN19A027,4
INXXX122,4
IN10B023,4
IN08B046,4
INXXX273,4
INXXX328,4
IN04B054_b,4
INXXX471,4
STTMm,4
IN00A009,4
IN12B005,4
IN19A024,4
IN12A011,4
IN01A043,4
IN01A005,4
IN20A.22A002,4
INXXX473,4
INXXX243,4
IN12B014,4
INXXX239,4
IN12A015,4
IN23B033,4
IN09B044,4
IN19A013,4
IN16B049,4
IN03B046,4
INXXX265,4
IN01B014,4
IN06B042,4
IN21A005,4
INXXX301,4
INXXX209,4
IN27X002,4
IN14B007,4
INXXX279,4
INXXX350,4
IN06B067,4
IN11A002,4
IN03B049,4
INXXX213,4
IN03A035,4
IN18B020,4
hi2 MN,4
"IN17A059,IN17A063",4
IN07B030,4
IN05B032,4
INXXX221,4
IN07B033,4
IN07B023,4
IN08B030,4
IN13B096_a,4
IN17A093,4
IN13A027,4
IN00A051,4
IN20A.22A003,4
IN13A037,4
IN03A070,4
INXXX212,4
IN26X003,4
MNad53,4
IN00A038,4
IN03A080,4
IN00A027,4
IN12B028,4
IN06A020,4
IN17A058,4
IN12A061_c,4
IN03A017,4
IN12A025,4
IN03A013,4
IN23B065,4
IN08A016,4
TN1a_f,4
IN19A026,4
IN05B042,4
IN12B032,4
INXXX110,4
INXXX346,4
IN06B033,4
IN04B087,4
IN03A034,4
IN21A085,4
IN06B028,4
IN02A019,4
SNta10,4
INXXX267,4
